N°;Titulo;Prompt resultados;
11;Sansa Star de Games o Throme, cuando es nombrada reina del norte;[Medium close-up] of Andy, a 29-year-old athletic blonde with blue eyes, standing regally in the [grand hall of a medieval castle]. She is dressed in an [ornate, dark velvet gown] that flows elegantly to the floor, embodying the strength and nobility of a [newly crowned queen]. Draped over her shoulders is a [thick, luxurious fur cloak], the [gray and white pelts] emphasizing the harsh cold of the Northern lands. Her gown is adorned with [intricate silver embroidery], and a [chain necklace of Northern sigils] rests heavily on her chest, symbolizing her power. Her [blonde hair is styled in elaborate Northern braids], with a [small silver crown] perched atop her head, catching the dim light of the castle. The atmosphere inside the hall is [somber and cold], with [snow falling softly] just outside the [tall, arched windows]. [Torches line the stone walls], casting flickering shadows, while the gathered lords and knights stand in respectful silence. The lighting emphasizes the [icy blues and deep grays] of the wintry setting, with [snowflakes drifting in] through the open doorway. Style: [hyper-realistic digital artwork], capturing the [rich textures of fabric and fur] with a focus on [medieval architecture and the cold atmosphere];1
12;Daenerys Targaryen;[Wide shot] of Andy, a 29-year-old athletic blonde with blue eyes, playing [Daenerys Targaryen], riding a [massive black dragon], so large it can’t fit entirely in the frame, flying in the [snow-covered northern lands]. She’s dressed in a [thick, fur-lined winter suit] made of [dark, rich fabrics], suited for the frigid climate. The coat is intricately woven, with [leather details and silver clasps] along the front, and a [large animal pelt draped over her shoulders], adding elegance and protection from the cold. Her long blonde hair is braided into [two intricate braids], falling down her back, catching the icy wind as she flies. The dragon’s [dark scales] glisten in the [pale northern sun], with [powerful wings cutting through the freezing air], as Andy grips the reins, poised with a sense of command. Below them, the [snow-capped mountains] and [endless white plains] of the North stretch out, the desolate landscape blending into a [frozen horizon]. [Snowflakes swirl around them] as they rise through the sky, creating a dramatic, wintry atmosphere. The lighting captures the [harsh, cold environment] with a [cold blue hue], and the [dragon's shadow] stretches ominously across the snowy ground below. Style: [Ultra-realistic digital art], with extreme attention to [fur, leather, and snow textures], blending [epic fantasy] elements with a [cinematic, dynamic composition];1
13;Vikingo;[Medium wide shot] of Andy, a 29-year-old athletic blonde with blue eyes, standing on a [frost-covered Nordic dock] in a [Viking village] during a [harsh winter]. She is dressed in [traditional Viking armor], featuring a [thick, dark brown fur cloak] that drapes over her shoulders, providing warmth and a sense of authority. Beneath the cloak, her [leather and metal-studded armor] is intricately detailed, with [bronze shoulder plates], and a [worn leather chestpiece] strapped tightly around her athletic frame. Her arms are wrapped in [fur-lined bracers], and her legs are protected by [weathered leather pants] tucked into [fur-lined boots], designed to endure the freezing climate. The [black war paint] smeared around her [intense blue eyes] adds to her fierce appearance, contrasting with her fair skin. In her right hand, she grips a [large, double-edged Viking axe], the blade glinting in the [cold, grey daylight]. Her left hand holds a [round wooden shield] adorned with [ancient Norse symbols], its edges reinforced with [iron]. As she stands firmly on the dock, her breath forms visible [clouds of vapor] in the [icy air], highlighting the freezing conditions. Behind her, the [wooden Viking ships] are docked, their [serpent-like figureheads] staring into the horizon. The [snow begins to fall], dusting her [fur cloak] and [dark leather armor]. The lighting is [dim, overcast], with the [pale winter sun] barely piercing through the heavy clouds, casting a [cold, bluish tint] over the scene. The camera captures her in a [slightly low angle], emphasizing her strength and determination in the face of the [frozen, hostile environment]. Style: [hyper-realistic digital art], focusing on [extreme detail in clothing textures], with a [cinematic, epic fantasy] atmosphere;1
14;Ninja;[Full body shot] of Andy, a 29-year-old athletic blonde with striking blue eyes, standing in a [narrow, dimly lit dirt street] of an ancient [Japanese village], dressed in a [traditional black ninja attire]. The scene is set at [night], with [only the moonlight] and a few flickering lanterns casting soft shadows. Her [black ninja outfit] consists of [light, breathable fabric], wrapped tightly around her body to ensure stealth and agility, with [protective leather padding] on her forearms, shins, and shoulders. Andy’s face is [fully visible], her [sharp, focused expression] highlighted by the soft light, while her [blonde hair] is tied back, keeping it out of her face as she readies herself for action.She stands in a [dynamic ninja pose], her [knees slightly bent], one hand raised defensively, while the other rests near the hilt of one of the [two katanas] strapped across her back. Her eyes, a [striking blue], are fixed intently ahead, the only bright feature in the [shadowy environment], giving a sharp contrast to her otherwise [black attire]. Her [boots] are soft leather, designed for silent movement, with small [metal plates] embedded for added protection. The environment around her is a [quiet, traditional Japanese village], with [wooden houses] lining the street. Their sliding doors are closed, and only a few [dim lanterns] hang from the eaves, casting [long, eerie shadows]. The [ground is covered in dirt], and the air feels cool and still. The [trees] nearby sway gently in the [breeze], their branches almost blending into the night. Andy stands perfectly still in her [ninja pose], her [black attire blending seamlessly] with the darkness, except for her [bright blue eyes] and [bare face], which contrast sharply against the [shadows]. The [camera is positioned low and at an angle], emphasizing the readiness in her stance. The [lighting is minimal], with [soft moonlight] casting faint highlights on her figure, while [shadows cloak] much of the scene. Style: [cinematic, high contrast], with [extreme focus on clothing textures and atmosphere];1
15;Overolcorto;[Medium shot] of Andy, a 29-year-old athletic blonde with blue eyes, standing confidently outdoors, wearing only a [casual denim overalls]. The [denim overalls] are a [light blue], with [thick straps] that fasten over her shoulders and a large [front pocket] across the chest. [No T-shirt], and the design leaves the [sides of her torso] exposed, giving the look a relaxed yet [edgy and feminine] vibe. The overalls have [metal snaps] that secure the straps, while the [bottoms] fit comfortably around her hips, with [pockets] at the front and back adding functional details. Her bare arms and shoulders highlight the [casual simplicity] of the outfit, and the [denim texture] contrasts nicely with her skin tone. The setting is an [outdoor area], likely a [sunlit backyard] or [garden], where natural lighting creates soft [warm highlights] on her figure. The [camera angle] is at chest height, framing her smile and relaxed posture. Her hair falls in [soft waves], framing her face naturally, while her expression radiates confidence and calmness. Behind her, a [green hedge] and a [wooden fence] serve as a simple backdrop, keeping the focus on Andy and her outfit. The [lighting is warm and natural], capturing the glow of the golden hour, while her denim overalls reflect light subtly, adding depth to the texture of the fabric. The style is [modern and relaxed], emphasizing the [effortless charm] of the denim overalls while maintaining a [casual, yet eye-catching aesthetic].;1
16;Vestido corto;[Side-rear angle shot] of Andy, a 29-year-old athletic blonde with blue eyes, standing in a modern kitchen. She is wearing a [short, tight-fitting striped dress] that accentuates her curves and reaches just above her buttocks. The dress is made from a [lightweight fabric] with thin horizontal stripes in black and white, hugging her body and highlighting her toned figure. The hem of the dress falls just below her hips, slightly covering her buttocks, and the [short sleeves] are trimmed with delicate white lace, adding a soft and feminine touch to the ensemble. The neckline has a subtle rounded shape with a similar lace detail that enhances the overall simplicity and elegance of the design. Her hair is pulled back into a [casual ponytail], held by a [large white clip], allowing a few loose strands to fall naturally around her face. The [camera focuses on her profile], capturing the natural movement of her pose as she stands with one hand resting gently on her hip. In the background, the [bright, modern kitchen] is illuminated by natural light, with a wooden countertop and a bowl of fruit. The overall scene conveys a relaxed, intimate, and comfortable atmosphere, with the [lighting] providing a soft glow on Andy's skin and clothing, highlighting the textures of the fabric and the softness of her skin. The style emphasizes the [casual simplicity and modernity] of the dress, while the surroundings give the image a sense of [everyday comfort] and [natural beauty];1
17;Ciclista;[Medium shot] of Andy, a 29-year-old athletic blonde with blue eyes, standing confidently next to a sleek road bike. She is dressed in a [minimalist light pink one-piece bodysuit], featuring extremely high-cut sides that reveal most of her hips and thighs, accentuating her toned physique. The bodysuit is made from a smooth, elastic fabric that clings to her body, with [thin spaghetti straps] crossing over her shoulders, leaving her arms and much of her torso exposed. She wears [white cycling socks] that reach mid-calf, and her feet are secured in professional biking shoes. The [subtle sheen of the fabric] catches the light, highlighting the delicate contours of the bodysuit as it contrasts against her skin. On her head, Andy wears a [sleek white cycling helmet], accompanied by [reflective sunglasses], adding a sporty touch to her look. Her [long blonde hair] is tied back in a ponytail, keeping it out of her face as she stands in a relaxed pose, one hand gripping the handlebar of the bike, the other resting on the seat. The environment showcases a [bright and sunny lakeside setting], with calm water and a few trees visible in the background, evoking a sense of outdoor adventure and fitness. The [light breeze] gently moves through the scene, and the [bright natural lighting] casts soft shadows on her body and outfit, enhancing the vibrancy of the day. The overall mood of the image is energetic and summery, with Andy standing tall in her [sporty, daring attire], exuding confidence and strength as she prepares for a cycling adventure. The scene captures the perfect blend of [active lifestyle] and [stylish minimalism].;1
18;Cadance;Wide shot of a blonde woman named Andy, 29 years old, with long loose hair and blue eyes, dressed in an outfit inspired by ancient Egypt. She wears a golden and blue headdress with intricate geometric details, golden bracelets on both arms, and a wide collar adorned with turquoise and gold gems. Her top is tight-fitting and elegant, made of semi-transparent fabric with golden embroidery that highlights her femininity, while her long, flowing skirt has side slits, revealing her legs and complementing her athletic figure. The outfit is decorated with ancient Egyptian patterns and golden ribbons that move gracefully with her. The scene is set in an Egyptian-style room, with stone walls carved with hieroglyphs and decorative columns. Through a large open window, an oasis with a small crystal-clear lagoon and green trees surrounding the water can be seen. The sunlight softly illuminates the room, emphasizing the sensuality and elegance of Andy's attire, as the golden accents of her outfit gleam under the warm evening light;1
19;Ada Wong (Resident Evil series);[Wide shot] of a blonde woman named Andy, [29 years old], with long loose hair, bright blue eyes, and an athletic physique, gracefully and confidently walking through a [large, elegant, classical restaurant]. She is wearing a [Chinese-style dress] made of [red silk with golden embroidery], with a high slit on one leg, revealing her [toned legs] and sleek black heels. Her posture is [elegant and alluring], and as she walks, she gives a [playful smile], knowing that all eyes are on her. [Diners] in the restaurant, illuminated by [hanging lanterns] and cozy decorations, turn their heads, mesmerized by her presence, while the atmosphere remains warm and refined.;1
20;Caperucita;Medium shot with a 50 mm lens. The scene takes place in a dark forest, filled with tall trees and long shadows under the faint moonlight. Andy, a 29-year-old blonde woman with blue eyes and an athletic physique, is dressed in a sexy Red Riding Hood-inspired costume. The outfit features a deep neckline with a tight red corset and black leather details that accentuate her figure. The red cape partially covers her head, contrasting with her loose blonde hair. As she walks quickly, her short dress sways with the urgency of her steps, showing her concern as a wolf closely follows her in the shadows. The atmosphere is tense, with the breeze rustling the leaves and the echo of her footsteps resonating between the trees. The lighting comes from the moon, casting soft reflections on her skin and highlighting the movement of her cape;1
21;TinkerBell;{{A seductive representation of {{Andy, an athletic, blonde woman with blue eyes and 29 years old}}}} dressed in a tight green dress with a plunging neckline, designed with golden floral details that enhance her figure. Her dress has a high cut on the leg, revealing part of her thigh. She also wears delicate translucent wings that reflect the surrounding light. Andy is sitting on a moss-covered rock, surrounded by water lilies in a fantasy forest setting, full of green leaves and large flowers. She has a soft and relaxed expression, with a slight smile on her lips. The background is a magical forest, softly illuminated by glowing light filtering through the trees, creating a mystical atmosphere. The image should be in the style of a highly detailed digital illustration inspired by fantasy art. The shot is a medium shot, captured with a 70 mm lens to highlight her figure and the nearby environment. The lighting is soft and diffused, emphasizing the details of her dress and translucent wings. The desired level of detail is high, with a 4K resolution, highlighting both the details of the dress and the natural textures of the forest and flowers.;1
22;Coneja;{{Andy, an athletic, blonde woman with blue eyes and 29 years old}} is walking down the runway in a night club wearing a bold and sexy outfit. She is dressed in a shiny black vinyl bodysuit that accentuates her figure. At the back, the bodysuit features a fluffy white bunny tail. She complements the look with fishnet stockings covering her legs and long black lace gloves that add an elegant touch. On her head, she wears a headband with large black bunny ears, giving her a playful and seductive appearance. Andy struts confidently down the runway in the night club, standing out under the dim and colorful lights that illuminate the stage, while the crowd watches her. Her expression is confident and seductive, as she showcases her outfit with poses and movements that capture the audience's attention. The style of the image is a digital illustration with a focus on fashion and glamour. The shot is a full-body shot, captured with a 50 mm lens to highlight both her figure and the club environment. The lighting is soft but dramatic, with neon lights and flashes that emphasize the shine of the vinyl and the textures of the fishnet stockings. The level of detail is high, with a 4K resolution, to capture every element of the outfit and the reflections on the material.;1
23;Hamburguesa;{Medium shot, front-facing camera, 50 mm lens}: A 29-year-old athletic blonde woman named Andy with loose hair and blue eyes, seated at a {fast-food restaurant table}, holding a giant cheeseburger with both hands. Her expression shows surprise and amusement at the size of the burger. {Tight, short white shirt that reads 'I Love Junk Food'}, paired with gold earrings, necklace, and bracelet. {Colorful restaurant filled with signs for offers and fast-food combos in the background}. {Bright white lighting, direct angle medium shot, emphasizing Andy's expression and the oversized burger}. {photorealistic style, high resolution, fine details}.;1
24;Jeans apretados;{Medium shot from a rear angle, 85 mm lens}: Andy, a 29-year-old athletic blonde woman with blue eyes, walks through a {busy pedestrian street in a city filled with people}. The camera captures her from behind, showing her {back as she slightly turns her head to look towards the camera}. She’s wearing a {very tight, short white shirt that emphasizes her athletic figure} and {ultra-fitted jeans that accentuate her curves}. Her pose is flirtatious, with both hands lifting her hair while she smiles kindly at onlookers. {Dynamic urban setting, with soft natural city lighting, photographic style, focused on the details of her clothing and Andy's playful expression};1
25;short corto;{Medium rear angle shot, 50mm lens}: Andy, a 29-year-old athletic blonde woman with blue eyes, stands in a {naturally lit kitchen}. She is wearing a {long-sleeved white shirt, slightly loose, contrasting with her figure, open in the chest area} and {extremely short, tight pink shorts with frayed edges, highlighting her legs and curves. Extra short shorts}. She is leaning with one hand on the counter, while turning her head slightly towards the camera, with a soft and relaxed expression. {Naturally lit scene, photorealistic photography style, fine details in Andy's clothing and expression, with a focus on the contrast between her pose and the tight clothing};1
26;Ejecutiva Avion;{{A representation of ((sophisticated and confident)) Andy, an athletic blonde woman with blue eyes, 29 years old}}} wearing {((an elegant light gray pantsuit))} consisting of a tailored blazer with classic lapels and an unbuttoned white shirt at the collar, projecting a formal yet relaxed style. {{Andy wears a belt with a golden buckle and long earrings, adding to her sophisticated look}}. The scene takes place inside a luxurious private jet, with {{beige leather seats and oval windows}} that allow natural light to enter. {{Andy is seated comfortably in a confident posture, with one hand resting on the seat back and the other in her pocket}}. The image should have the style of an ultra-realistic photograph, captured in a {((close-up))} shot with a 70 mm lens, emphasizing soft lighting that highlights the suit details and the luxurious setting. The goal is to create a captivating image that conveys professionalism and elegance;1
27;Ejecutiva Oficina;{{An elegant representation of Andy, an athletic blonde woman with blue eyes, 29 years old}}} wearing {((a refined white suit))} consisting of a fitted blazer with classic lapels and a decorative button, enhancing her figure with pocket details. She wears a matching white skirt, fitted and cut above the knee, combining professional and sophisticated style. {{Andy is standing next to a modern desk, leaning slightly toward it, with one hand resting on the desk and the other on her thigh}}, projecting confidence and professional presence. The scene is set in a modern office with a large window showcasing the city in the background, allowing natural light to illuminate the space. {{A plant with red flowers in the background adds a color contrast}}. The image should have the style of an ultra-realistic photograph, captured in a {((medium shot))} with a 50 mm lens, with soft lighting that highlights the suit's details and the office setting. The goal is to create a captivating image that conveys elegance, confidence, and professionalism;1
28;pijama lila;{{Andy, an athletic blonde woman with blue eyes, 29 years old}}} wears a {((sensual purple lingerie set))} consisting of a sheer lace camisole with thin straps and delicate floral designs on the deep neckline. The camisole is adorned with a bow in the center, adding an elegant touch, and opens slightly at the torso, draping softly over her figure. The bottom piece is a soft lilac satin short, loose and short-cut, complementing the style. {{Andy is seated in a minimalist setting, with flowers in a vase beside her,}} projecting a calm and intimate atmosphere. The lighting is soft, highlighting the lace texture and satin shine of the shorts. The image should have an ultra-realistic photography style, captured in a {((medium shot))} with a 50 mm lens, to emphasize the lingerie details and surroundings.;1
29; Babydoll transparente;{Medium shot with a 50mm lens, from a slightly low angle, capturing Andy from the front as she stretches upon waking up}. {The scene has soft, natural lighting coming through the window on one side of the room, creating delicate shadows that highlight the texture of her clothing}. {Andy is in her personal bedroom, decorated with feminine touches like soft pillows, a nightstand with fresh flowers, and sheer curtains that allow light to enter}. {The image is a hyper-realistic digital illustration, focused on emphasizing the details of her clothing and Andy’s expression}. {Andy, a 29-year-old woman with loose blonde hair and bright blue eyes, wears a semi-transparent black babydoll with floral lace on the bust and halter-style straps that leave her shoulders bare}. {The babydoll features a light, loose skirt that drapes delicately over her thighs, suggesting movement as she stretches}. {Her expression shows a slight smile with a hint of playfulness, as if she’s enjoying the cozy ambiance of her room}. {Art style: photorealistic rendering, with a high level of detail in the fabric and soft lighting that adds depth to the lace}. {High resolution to capture every detail, including soft shadows on her skin and the transparency of the babydoll}.;1
30;polera ancha;{Medium shot with a 50mm lens, at a slightly low side angle, capturing Andy from a profile view turned slightly towards the camera}. {The lighting is soft and natural, coming in from a side window and casting gentle shadows that highlight the texture of her clothing and her figure}. {The scene is set in a minimalist room with cushions and a blurred background, emphasizing the calmness of the morning}. {The image is a hyper-realistic digital illustration, with great detail in the creases of the clothing and Andy's expression}. {Andy, a 29-year-old woman with blonde hair, blue eyes, and an athletic physique, wears a white cotton tank top with a print on the chest and very wide armholes that slightly reveal the sides of her torso}. {The tank top is paired with high-waisted gray sweatpants, gently cinched with a drawstring, creating a comfortable and casual style}. {Andy has a calm expression with a hint of curiosity, as if observing something off-camera}. {Art style: photorealistic rendering, with a high level of detail in the fabric texture and soft lighting effects on her skin}. {High resolution to capture every detail, including soft shadows in the background and the cotton texture of the tank top};1
31;Sabanas;{Camera: close-up, 70mm lens, low-angle view} {Setting: minimalist bedroom, with soft natural light and shadows projected on the wall} {Image type: high-resolution photograph} {Art style: portrait photography} {Clothing and pose: Andy, an athletic 29-year-old woman with blonde hair and blue eyes, is kneeling on a bed covered with white silk sheets. The sheet partially covers her torso, leaving her shoulders bare and draping around her body suggestively, accentuating her figure.} {Expression and pose: her expression is calm, with a hint of playfulness in her gaze as she holds the sheet against her chest. Her right leg is partially visible, her vagina.} {Lighting: soft natural light creates dramatic shadows, highlighting the curves of Andy's body with warm tones that add an intimate feel to the scene.} {Additional details: captures every texture of the silk sheet and the nuances of her skin, creating an atmosphere of intimacy and elegance in a well-lit room with natural light};1
32;polera  de gaza;{{A sensual representation of Andy, a 29-year-old athletic woman with blonde hair and blue eyes,}} laughing and with a mischievous look, located in her bedroom, a large room with feminine touches. {{She is wearing a transparent gauze shirt where her bare-shoulder nipples are visible and extremely short shorts}}. This is an image inspired by {intimate photography styles} that shows {Andy's natural beauty}. The atmosphere should be {cozy and relaxing}, with a warm and soft tone that invites seduction. The image should be in the style of {ultra-realistic photography}, incorporating elements of {hyperrealism}. The {medium shot}, captured with a {50 mm} lens, will provide a {soft and warm vision}. The lighting should be {soft and diffuse}, emphasizing {Andy's natural beauty}. The desired level of detail is {detailed and realistic}, with {high definition} resolution, highlighting {the texture of the transparent gauze shirt, {the nipples}, and the extremely short shorts}. The goal is to create an {intimate and sensual} image that captivates the viewer with its {natural beauty}.;1
33;obra de arte;{{An artistic representation of Andy, an elegant and natural woman,}} in a room with a large window that lets in natural light. She is in an elegant position, with her body illuminated by the natural light. This is an image that highlights Andy's natural beauty, without focusing on details that may be considered inappropriate. The environment should be {cozy and relaxing}, with a warm and soft tone that invites rest. The image should have the style of an {artistic photograph}, incorporating elements of {impressionism}. The {medium shot}, captured with a {50 mm} lens, will provide a {soft and warm view}. The lighting should be {soft and natural}, emphasizing Andy's natural beauty. The desired level of detail is {detailed and realistic}, with a {high definition} resolution, highlighting the texture and shape of Andy.;1
34;obra de arte2;Medium shot of Andy, a blonde woman with blue eyes and an athletic physique, in a minimalist room with white walls and soft natural light streaming through a large window. The camera is positioned at torso level, using an 85mm lens to capture the depth and defined curves of her figure, highlighting each line with a delicate, artistic focus. Andy presents herself as a living work of art, her radiant beauty exuding serenity and sophistication. The natural light gently caresses her skin and reflects the sparkle in her blue eyes, emphasizing the harmony of her contours and the elegance of her posture. Her introspective expression and slight smile give her the air of a classical muse, a figure worthy of eternal admiration. The atmosphere is serene and ethereal, with a soft tone that transforms the scene into a modern Renaissance painting, where Andy herself is the centerpiece and essence of the artwork;1
